scenario_id,quarter,market,currency,tariff_rate,fx_spot_jpy,material_price_usd,interest_rate_annual,note
s2_weak_yen,2028Q3,JP,JPY,0.000,1.00,6.00,0.030,
s2_weak_yen,2028Q3,US,USD,0.125,200.00,6.00,0.030,
s2_weak_yen,2028Q3,EU,EUR,0.080,216.00,6.00,0.030,
s2_weak_yen,2028Q4,JP,JPY,0.000,1.00,6.00,0.030,
s2_weak_yen,2028Q4,US,USD,0.125,200.00,6.00,0.030,
s2_weak_yen,2028Q4,EU,EUR,0.080,216.00,6.00,0.030,
s3_material_shock,2027Q1,JP,JPY,0.000,1.00,8.00,0.030,原料高単独（$8.0）。為替は基準のまま
s3_material_shock,2027Q1,US,USD,0.125,150.00,8.00,0.030,
s3_material_shock,2027Q1,EU,EUR,0.080,162.00,8.00,0.030,
s3_material_shock,2027Q2,JP,JPY,0.000,1.00,8.00,0.030,
s3_material_shock,2027Q2,US,USD,0.125,150.00,8.00,0.030,
s3_material_shock,2027Q2,EU,EUR,0.080,162.00,8.00,0.030,
s3_material_shock,2027Q3,JP,JPY,0.000,1.00,8.00,0.030,
s3_material_shock,2027Q3,US,USD,0.125,150.00,8.00,0.030,
s3_material_shock,2027Q3,EU,EUR,0.080,162.00,8.00,0.030,
s3_material_shock,2027Q4,JP,JPY,0.000,1.00,8.00,0.030,
s3_material_shock,2027Q4,US,USD,0.125,150.00,8.00,0.030,
s3_material_shock,2027Q4,EU,EUR,0.080,162.00,8.00,0.030,
s3_material_shock,2028Q1,JP,JPY,0.000,1.00,8.00,0.030,
s3_material_shock,2028Q1,US,USD,0.125,150.00,8.00,0.030,
s3_material_shock,2028Q1,EU,EUR,0.080,162.00,8.00,0.030,
s3_material_shock,2028Q2,JP,JPY,0.000,1.00,8.00,0.030,
s3_material_shock,2028Q2,US,USD,0.125,150.00,8.00,0.030,
s3_material_shock,2028Q2,EU,EUR,0.080,162.00,8.00,0.030,
s3_material_shock,2028Q3,JP,JPY,0.000,1.00,8.00,0.030,
s3_material_shock,2028Q3,US,USD,0.125,150.00,8.00,0.030,
s3_material_shock,2028Q3,EU,EUR,0.080,162.00,8.00,0.030,
s3_material_shock,2028Q4,JP,JPY,0.000,1.00,8.00,0.030,
s3_material_shock,2028Q4,US,USD,0.125,150.00,8.00,0.030,
s3_material_shock,2028Q4,EU,EUR,0.080,162.00,8.00,0.030,
s4_compound,2027Q1,JP,JPY,0.000,1.00,8.00,0.030,円安×原料高。交互作用の検証用（§9.3g）
s4_compound,2027Q1,US,USD,0.125,200.00,8.00,0.030,
s4_compound,2027Q1,EU,EUR,0.080,216.00,8.00,0.030,
s4_compound,2027Q2,JP,JPY,0.000,1.00,8.00,0.030,
s4_compound,2027Q2,US,USD,0.125,200.00,8.00,0.030,
s4_compound,2027Q2,EU,EUR,0.080,216.00,8.00,0.030,
s4_compound,2027Q3,JP,JPY,0.000,1.00,8.00,0.030,
s4_compound,2027Q3,US,USD,0.125,200.00,8.00,0.030,
s4_compound,2027Q3,EU,EUR,0.080,216.00,8.00,0.030,
s4_compound,2027Q4,JP,JPY,0.000,1.00,8.00,0.030,
s4_compound,2027Q4,US,USD,0.125,200.00,8.00,0.030,
s4_compound,2027Q4,EU,EUR,0.080,216.00,8.00,0.030,
s4_compound,2028Q1,JP,JPY,0.000,1.00,8.00,0.030,
s4_compound,2028Q1,US,USD,0.125,200.00,8.00,0.030,
s4_compound,2028Q1,EU,EUR,0.080,216.00,8.00,0.030,
s4_compound,2028Q2,JP,JPY,0.000,1.00,8.00,0.030,
s4_compound,2028Q2,US,USD,0.125,200.00,8.00,0.030,
s4_compound,2028Q2,EU,EUR,0.080,216.00,8.00,0.030,
s4_compound,2028Q3,JP,JPY,0.000,1.00,8.00,0.030,
s4_compound,2028Q3,US,USD,0.125,200.00,8.00,0.030,
s4_compound,2028Q3,EU,EUR,0.080,216.00,8.00,0.030,
s4_compound,2028Q4,JP,JPY,0.000,1.00,8.00,0.030,
s4_compound,2028Q4,US,USD,0.125,200.00,8.00,0.030,
s4_compound,2028Q4,EU,EUR,0.080,216.00,8.00,0.030,
s5_strong_yen,2027Q1,JP,JPY,0.000,1.00,6.00,0.030,円高（USD115）。切替点近傍（§9.3f）
s5_strong_yen,2027Q1,US,USD,0.125,115.00,6.00,0.030,
s5_strong_yen,2027Q1,EU,EUR,0.080,124.20,6.00,0.030,
s5_strong_yen,2027Q2,JP,JPY,0.000,1.00,6.00,0.030,
s5_strong_yen,2027Q2,US,USD,0.125,115.00,6.00,0.030,
s5_strong_yen,2027Q2,EU,EUR,0.080,124.20,6.00,0.030,
s5_strong_yen,2027Q3,JP,JPY,0.000,1.00,6.00,0.030,
s5_strong_yen,2027Q3,US,USD,0.125,115.00,6.00,0.030,
s5_strong_yen,2027Q3,EU,EUR,0.080,124.20,6.00,0.030,
s5_strong_yen,2027Q4,JP,JPY,0.000,1.00,6.00,0.030,
s5_strong_yen,2027Q4,US,USD,0.125,115.00,6.00,0.030,
s5_strong_yen,2027Q4,EU,EUR,0.080,124.20,6.00,0.030,
s5_strong_yen,2028Q1,JP,JPY,0.000,1.00,6.00,0.030,
s5_strong_yen,2028Q1,US,USD,0.125,115.00,6.00,0.030,
s5_strong_yen,2028Q1,EU,EUR,0.080,124.20,6.00,0.030,
s5_strong_yen,2028Q2,JP,JPY,0.000,1.00,6.00,0.030,
s5_strong_yen,2028Q2,US,USD,0.125,115.00,6.00,0.030,
s5_strong_yen,2028Q2,EU,EUR,0.080,124.20,6.00,0.030,
s5_strong_yen,2028Q3,JP,JPY,0.000,1.00,6.00,0.030,
s5_strong_yen,2028Q3,US,USD,0.125,115.00,6.00,0.030,
s5_strong_yen,2028Q3,EU,EUR,0.080,124.20,6.00,0.030,
s5_strong_yen,2028Q4,JP,JPY,0.000,1.00,6.00,0.030,
s5_strong_yen,2028Q4,US,USD,0.125,115.00,6.00,0.030,
s5_strong_yen,2028Q4,EU,EUR,0.080,124.20,6.00,0.030,
s6_us_tariff_up,2027Q1,JP,JPY,0.000,1.00,6.00,0.030,米国関税 12.5%→25%。関税感度の検証
s6_us_tariff_up,2027Q1,US,USD,0.250,150.00,6.00,0.030,
s6_us_tariff_up,2027Q1,EU,EUR,0.080,162.00,6.00,0.030,
s6_us_tariff_up,2027Q2,JP,JPY,0.000,1.00,6.00,0.030,
s6_us_tariff_up,2027Q2,US,USD,0.250,150.00,6.00,0.030,
s6_us_tariff_up,2027Q2,EU,EUR,0.080,162.00,6.00,0.030,
s6_us_tariff_up,2027Q3,JP,JPY,0.000,1.00,6.00,0.030,
s6_us_tariff_up,2027Q3,US,USD,0.250,150.00,6.00,0.030,
s6_us_tariff_up,2027Q3,EU,EUR,0.080,162.00,6.00,0.030,
s6_us_tariff_up,2027Q4,JP,JPY,0.000,1.00,6.00,0.030,
s6_us_tariff_up,2027Q4,US,USD,0.250,150.00,6.00,0.030,
s6_us_tariff_up,2027Q4,EU,EUR,0.080,162.00,6.00,0.030,
s6_us_tariff_up,2028Q1,JP,JPY,0.000,1.00,6.00,0.030,
s6_us_tariff_up,2028Q1,US,USD,0.250,150.00,6.00,0.030,
s6_us_tariff_up,2028Q1,EU,EUR,0.080,162.00,6.00,0.030,
s6_us_tariff_up,2028Q2,JP,JPY,0.000,1.00,6.00,0.030,
s6_us_tariff_up,2028Q2,US,USD,0.250,150.00,6.00,0.030,
s6_us_tariff_up,2028Q2,EU,EUR,0.080,162.00,6.00,0.030,
s6_us_tariff_up,2028Q3,JP,JPY,0.000,1.00,6.00,0.030,
s6_us_tariff_up,2028Q3,US,USD,0.250,150.00,6.00,0.030,
s6_us_tariff_up,2028Q3,EU,EUR,0.080,162.00,6.00,0.030,
s6_us_tariff_up,2028Q4,JP,JPY,0.000,1.00,6.00,0.030,
s6_us_tariff_up,2028Q4,US,USD,0.250,150.00,6.00,0.030,
s6_us_tariff_up,2028Q4,EU,EUR,0.080,162.00,6.00,0.030,
s7_rate_up,2027Q1,JP,JPY,0.000,1.00,6.00,0.060,金利 3%→6%。運転資本費用の感度
s7_rate_up,2027Q1,US,USD,0.125,150.00,6.00,0.060,
s7_rate_up,2027Q1,EU,EUR,0.080,162.00,6.00,0.060,
s7_rate_up,2027Q2,JP,JPY,0.000,1.00,6.00,0.060,
s7_rate_up,2027Q2,US,USD,0.125,150.00,6.00,0.060,
s7_rate_up,2027Q2,EU,EUR,0.080,162.00,6.00,0.060,
s7_rate_up,2027Q3,JP,JPY,0.000,1.00,6.00,0.060,
s7_rate_up,2027Q3,US,USD,0.125,150.00,6.00,0.060,
s7_rate_up,2027Q3,EU,EUR,0.080,162.00,6.00,0.060,
s7_rate_up,2027Q4,JP,JPY,0.000,1.00,6.00,0.060,
s7_rate_up,2027Q4,US,USD,0.125,150.00,6.00,0.060,
s7_rate_up,2027Q4,EU,EUR,0.080,162.00,6.00,0.060,
s7_rate_up,2028Q1,JP,JPY,0.000,1.00,6.00,0.060,
s7_rate_up,2028Q1,US,USD,0.125,150.00,6.00,0.060,
s7_rate_up,2028Q1,EU,EUR,0.080,162.00,6.00,0.060,
s7_rate_up,2028Q2,JP,JPY,0.000,1.00,6.00,0.060,
s7_rate_up,2028Q2,US,USD,0.125,150.00,6.00,0.060,
s7_rate_up,2028Q2,EU,EUR,0.080,162.00,6.00,0.060,
s7_rate_up,2028Q3,JP,JPY,0.000,1.00,6.00,0.060,
s7_rate_up,2028Q3,US,USD,0.125,150.00,6.00,0.060,
s7_rate_up,2028Q3,EU,EUR,0.080,162.00,6.00,0.060,
s7_rate_up,2028Q4,JP,JPY,0.000,1.00,6.00,0.060,
s7_rate_up,2028Q4,US,USD,0.125,150.00,6.00,0.060,
s7_rate_up,2028Q4,EU,EUR,0.080,162.00,6.00,0.060,
s8_actual_path,2027Q1,JP,JPY,0.000,1.00,6.00,0.030,実データの時系列を再現（FX 150→200、原料 6.0→8.0→6.5）
s8_actual_path,2027Q1,US,USD,0.125,150.00,6.00,0.030,
s8_actual_path,2027Q1,EU,EUR,0.080,162.00,6.00,0.030,
s8_actual_path,2027Q2,JP,JPY,0.000,1.00,6.00,0.030,
s8_actual_path,2027Q2,US,USD,0.125,150.00,6.00,0.030,
s8_actual_path,2027Q2,EU,EUR,0.080,162.00,6.00,0.030,
s8_actual_path,2027Q3,JP,JPY,0.000,1.00,6.00,0.030,
s8_actual_path,2027Q3,US,USD,0.125,150.00,6.00,0.030,
s8_actual_path,2027Q3,EU,EUR,0.080,162.00,6.00,0.030,
s8_actual_path,2027Q4,JP,JPY,0.000,1.00,6.00,0.030,
s8_actual_path,2027Q4,US,USD,0.125,150.00,6.00,0.030,
s8_actual_path,2027Q4,EU,EUR,0.080,162.00,6.00,0.030,
s8_actual_path,2028Q1,JP,JPY,0.000,1.00,8.00,0.030,
s8_actual_path,2028Q1,US,USD,0.125,200.00,8.00,0.030,
s8_actual_path,2028Q1,EU,EUR,0.080,216.00,8.00,0.030,
s8_actual_path,2028Q2,JP,JPY,0.000,1.00,6.50,0.030,
s8_actual_path,2028Q2,US,USD,0.125,200.00,6.50,0.030,
s8_actual_path,2028Q2,EU,EUR,0.080,216.00,6.50,0.030,
s8_actual_path,2028Q3,JP,JPY,0.000,1.00,6.50,0.030,
s8_actual_path,2028Q3,US,USD,0.125,200.00,6.50,0.030,
s8_actual_path,2028Q3,EU,EUR,0.080,216.00,6.50,0.030,
s8_actual_path,2028Q4,JP,JPY,0.000,1.00,6.50,0.030,
s8_actual_path,2028Q4,US,USD,0.125,200.00,6.50,0.030,
s8_actual_path,2028Q4,EU,EUR,0.080,216.00,6.50,0.030,
