sku_id,region,week,quantity,source
SKU-A001,EMEA,2024-W23,1752,statistical
SKU-A001,EMEA,2024-W24,1876,statistical
SKU-A001,EMEA,2024-W25,1719,statistical
SKU-A001,EMEA,2024-W26,1638,statistical
SKU-A001,AMER,2024-W01,1014,statistical
SKU-A001,AMER,2024-W02,987,statistical
SKU-A001,AMER,2024-W03,1159,statistical
SKU-A001,AMER,2024-W04,1272,statistical
SKU-A001,AMER,2024-W05,1252,statistical
SKU-A001,AMER,2024-W06,1231,statistical
SKU-A001,AMER,2024-W07,1335,statistical
SKU-A001,AMER,2024-W08,1332,statistical
SKU-A001,AMER,2024-W09,1493,statistical
SKU-A001,AMER,2024-W10,1420,statistical
SKU-A001,AMER,2024-W11,1355,statistical
SKU-A001,AMER,2024-W12,1214,statistical
SKU-A001,AMER,2024-W13,1128,statistical
SKU-A001,AMER,2024-W14,988,statistical
SKU-A001,AMER,2024-W15,984,statistical
SKU-A001,AMER,2024-W16,1045,statistical
SKU-A001,AMER,2024-W17,1074,statistical
SKU-A001,AMER,2024-W18,1016,statistical
SKU-A001,AMER,2024-W19,1129,statistical
SKU-A001,AMER,2024-W20,1327,statistical
SKU-A001,AMER,2024-W21,1308,statistical
SKU-A001,AMER,2024-W22,1557,statistical
SKU-A001,AMER,2024-W23,1646,statistical
SKU-A001,AMER,2024-W24,1565,statistical
SKU-A001,AMER,2024-W25,1318,statistical
SKU-A001,AMER,2024-W26,1101,statistical
SKU-A002,APAC,2024-W01,979,statistical
SKU-A002,APAC,2024-W02,888,statistical
SKU-A002,APAC,2024-W03,1010,statistical
SKU-A002,APAC,2024-W04,1080,statistical
SKU-A002,APAC,2024-W05,1214,statistical
SKU-A002,APAC,2024-W06,1263,statistical
SKU-A002,APAC,2024-W07,1278,statistical
SKU-A002,APAC,2024-W08,1317,statistical
SKU-A002,APAC,2024-W09,1268,statistical
SKU-A002,APAC,2024-W10,1140,statistical
SKU-A002,APAC,2024-W11,1149,statistical
SKU-A002,APAC,2024-W12,1031,statistical
SKU-A002,APAC,2024-W13,1085,statistical
SKU-A002,APAC,2024-W14,943,statistical
SKU-A002,APAC,2024-W15,854,statistical
SKU-A002,APAC,2024-W16,772,statistical
SKU-A002,APAC,2024-W17,813,statistical
SKU-A002,APAC,2024-W18,962,statistical
SKU-A002,APAC,2024-W19,1076,statistical
SKU-A002,APAC,2024-W20,1049,statistical
SKU-A002,APAC,2024-W21,1322,statistical
SKU-A002,APAC,2024-W22,1205,statistical
SKU-A002,APAC,2024-W23,1256,statistical
SKU-A002,APAC,2024-W24,1150,statistical
SKU-A002,APAC,2024-W25,1124,statistical
SKU-A002,APAC,2024-W26,1061,statistical
SKU-A002,EMEA,2024-W01,476,statistical
SKU-A002,EMEA,2024-W02,510,statistical
SKU-A002,EMEA,2024-W03,558,statistical
SKU-A002,EMEA,2024-W04,605,statistical
SKU-A002,EMEA,2024-W05,599,statistical
SKU-A002,EMEA,2024-W06,586,statistical
SKU-A002,EMEA,2024-W07,643,statistical
SKU-A002,EMEA,2024-W08,662,statistical
SKU-A002,EMEA,2024-W09,594,statistical
SKU-A002,EMEA,2024-W10,638,statistical
SKU-A002,EMEA,2024-W11,573,statistical
SKU-A002,EMEA,2024-W12,552,statistical
SKU-A002,EMEA,2024-W13,573,statistical
SKU-A002,EMEA,2024-W14,461,statistical
SKU-A002,EMEA,2024-W15,492,statistical
SKU-A002,EMEA,2024-W16,463,statistical
SKU-A002,EMEA,2024-W17,436,statistical
SKU-A002,EMEA,2024-W18,529,statistical
SKU-A002,EMEA,2024-W19,596,statistical
SKU-A002,EMEA,2024-W20,570,statistical
SKU-A002,EMEA,2024-W21,633,statistical
SKU-A002,EMEA,2024-W22,708,statistical
SKU-A002,EMEA,2024-W23,678,statistical
SKU-A002,EMEA,2024-W24,632,statistical
SKU-A002,EMEA,2024-W25,614,statistical
SKU-A002,EMEA,2024-W26,604,statistical
SKU-A002,AMER,2024-W01,269,statistical
SKU-A002,AMER,2024-W02,287,statistical
SKU-A002,AMER,2024-W03,260,statistical
SKU-A002,AMER,2024-W04,307,statistical
SKU-A002,AMER,2024-W05,315,statistical
SKU-A002,AMER,2024-W06,296,statistical
SKU-A002,AMER,2024-W07,315,statistical
SKU-A002,AMER,2024-W08,376,statistical
SKU-A002,AMER,2024-W09,325,statistical
SKU-A002,AMER,2024-W10,322,statistical
SKU-A002,AMER,2024-W11,312,statistical
SKU-A002,AMER,2024-W12,320,statistical
SKU-A002,AMER,2024-W13,306,statistical
SKU-A002,AMER,2024-W14,250,statistical
SKU-A002,AMER,2024-W15,228,statistical
SKU-A002,AMER,2024-W16,233,statistical
SKU-A002,AMER,2024-W17,275,statistical
SKU-A002,AMER,2024-W18,283,statistical
SKU-A002,AMER,2024-W19,285,statistical
SKU-A002,AMER,2024-W20,341,statistical
SKU-A002,AMER,2024-W21,374,statistical
SKU-A002,AMER,2024-W22,394,statistical
SKU-A002,AMER,2024-W23,400,statistical
SKU-A002,AMER,2024-W24,357,statistical
SKU-A002,AMER,2024-W25,307,statistical
SKU-A002,AMER,2024-W26,281,statistical
SKU-B001,APAC,2024-W01,246,statistical
SKU-B001,APAC,2024-W02,227,statistical
SKU-B001,APAC,2024-W03,252,statistical
SKU-B001,APAC,2024-W04,251,statistical
SKU-B001,APAC,2024-W05,288,statistical
SKU-B001,APAC,2024-W06,329,statistical
SKU-B001,APAC,2024-W07,319,statistical
SKU-B001,APAC,2024-W08,302,statistical
SKU-B001,APAC,2024-W09,318,statistical
SKU-B001,APAC,2024-W10,325,statistical
SKU-B001,APAC,2024-W11,265,statistical
SKU-B001,APAC,2024-W12,252,statistical
SKU-B001,APAC,2024-W13,281,statistical
SKU-B001,APAC,2024-W14,244,statistical
SKU-B001,APAC,2024-W15,255,statistical
SKU-B001,APAC,2024-W16,224,statistical
SKU-B001,APAC,2024-W17,238,statistical
SKU-B001,APAC,2024-W18,226,statistical
SKU-B001,APAC,2024-W19,253,statistical
SKU-B001,APAC,2024-W20,313,statistical
SKU-B001,APAC,2024-W21,336,statistical
SKU-B001,APAC,2024-W22,332,statistical
SKU-B001,APAC,2024-W23,342,statistical
SKU-B001,APAC,2024-W24,342,statistical
SKU-B001,APAC,2024-W25,292,statistical
SKU-B001,APAC,2024-W26,263,statistical
SKU-B001,EMEA,2024-W01,324,statistical
SKU-B001,EMEA,2024-W02,330,statistical
SKU-B001,EMEA,2024-W03,382,statistical
SKU-B001,EMEA,2024-W04,402,statistical
SKU-B001,EMEA,2024-W05,351,statistical
SKU-B001,EMEA,2024-W06,417,statistical
SKU-B001,EMEA,2024-W07,431,statistical
SKU-B001,EMEA,2024-W08,409,statistical
SKU-B001,EMEA,2024-W09,429,statistical
SKU-B001,EMEA,2024-W10,408,statistical
SKU-B001,EMEA,2024-W11,360,statistical
SKU-B001,EMEA,2024-W12,359,statistical
SKU-B001,EMEA,2024-W13,321,statistical
SKU-B001,EMEA,2024-W14,316,statistical
SKU-B001,EMEA,2024-W15,301,statistical
SKU-B001,EMEA,2024-W16,292,statistical
SKU-B001,EMEA,2024-W17,317,statistical
SKU-B001,EMEA,2024-W18,320,statistical
SKU-B001,EMEA,2024-W19,406,statistical
SKU-B001,EMEA,2024-W20,432,statistical
SKU-B001,EMEA,2024-W21,447,statistical
SKU-B001,EMEA,2024-W22,478,statistical
SKU-B001,EMEA,2024-W23,486,statistical
SKU-B001,EMEA,2024-W24,483,statistical
SKU-B001,EMEA,2024-W25,375,statistical
SKU-B001,EMEA,2024-W26,398,statistical
SKU-B001,AMER,2024-W01,498,statistical
SKU-B001,AMER,2024-W02,513,statistical
SKU-B001,AMER,2024-W03,481,statistical
SKU-B001,AMER,2024-W04,520,statistical
SKU-B001,AMER,2024-W05,538,statistical
SKU-B001,AMER,2024-W06,579,statistical
SKU-B001,AMER,2024-W07,649,statistical
SKU-B001,AMER,2024-W08,699,statistical
SKU-B001,AMER,2024-W09,626,statistical
SKU-B001,AMER,2024-W10,568,statistical
SKU-B001,AMER,2024-W11,618,statistical
SKU-B001,AMER,2024-W12,495,statistical
SKU-B001,AMER,2024-W13,530,statistical
SKU-B001,AMER,2024-W14,522,statistical
SKU-B001,AMER,2024-W15,420,statistical
SKU-B001,AMER,2024-W16,421,statistical
SKU-B001,AMER,2024-W17,428,statistical
SKU-B001,AMER,2024-W18,536,statistical
SKU-B001,AMER,2024-W19,507,statistical
SKU-B001,AMER,2024-W20,591,statistical
SKU-B001,AMER,2024-W21,679,statistical
SKU-B001,AMER,2024-W22,688,statistical
SKU-B001,AMER,2024-W23,652,statistical
SKU-B001,AMER,2024-W24,711,statistical
SKU-B001,AMER,2024-W25,621,statistical
SKU-B001,AMER,2024-W26,506,statistical
SKU-B002,APAC,2024-W01,204,statistical
SKU-B002,APAC,2024-W02,224,statistical
SKU-B002,APAC,2024-W03,231,statistical
SKU-B002,APAC,2024-W04,224,statistical
SKU-B002,APAC,2024-W05,252,statistical
SKU-B002,APAC,2024-W06,295,statistical
SKU-B002,APAC,2024-W07,311,statistical
SKU-B002,APAC,2024-W08,269,statistical
SKU-B002,APAC,2024-W09,276,statistical
SKU-B002,APAC,2024-W10,281,statistical
SKU-B002,APAC,2024-W11,268,statistical
SKU-B002,APAC,2024-W12,240,statistical
SKU-B002,APAC,2024-W13,237,statistical
SKU-B002,APAC,2024-W14,239,statistical
SKU-B002,APAC,2024-W15,230,statistical
SKU-B002,APAC,2024-W16,207,statistical
SKU-B002,APAC,2024-W17,228,statistical
SKU-B002,APAC,2024-W18,210,statistical
SKU-B002,APAC,2024-W19,230,statistical
SKU-B002,APAC,2024-W20,288,statistical
SKU-B002,APAC,2024-W21,277,statistical
SKU-B002,APAC,2024-W22,303,statistical
SKU-B002,APAC,2024-W23,300,statistical
SKU-B002,APAC,2024-W24,321,statistical
SKU-B002,APAC,2024-W25,287,statistical
SKU-B002,APAC,2024-W26,242,statistical
SKU-B002,EMEA,2024-W01,953,statistical
SKU-B002,EMEA,2024-W02,915,statistical
SKU-B002,EMEA,2024-W03,948,statistical
SKU-B002,EMEA,2024-W04,1114,statistical
SKU-B002,EMEA,2024-W05,1098,statistical
SKU-B002,EMEA,2024-W06,1069,statistical
SKU-B002,EMEA,2024-W07,1224,statistical
SKU-B002,EMEA,2024-W08,1208,statistical
SKU-B002,EMEA,2024-W09,1335,statistical
SKU-B002,EMEA,2024-W10,1143,statistical
SKU-B002,EMEA,2024-W11,1197,statistical
SKU-B002,EMEA,2024-W12,1150,statistical
SKU-B002,EMEA,2024-W13,961,statistical
SKU-B002,EMEA,2024-W14,995,statistical
SKU-B002,EMEA,2024-W15,892,statistical
SKU-B002,EMEA,2024-W16,819,statistical
SKU-B002,EMEA,2024-W17,832,statistical
SKU-B002,EMEA,2024-W18,1016,statistical
SKU-B002,EMEA,2024-W19,1039,statistical
SKU-B002,EMEA,2024-W20,1180,statistical
SKU-B002,EMEA,2024-W21,1331,statistical
SKU-B002,EMEA,2024-W22,1431,statistical
SKU-B002,EMEA,2024-W23,1345,statistical
SKU-B002,EMEA,2024-W24,1164,statistical
SKU-B002,EMEA,2024-W25,1267,statistical
SKU-B002,EMEA,2024-W26,1020,statistical
SKU-B002,AMER,2024-W01,890,statistical
SKU-B002,AMER,2024-W02,780,statistical
SKU-B002,AMER,2024-W03,925,statistical
SKU-B002,AMER,2024-W04,925,statistical
SKU-B002,AMER,2024-W05,1060,statistical
SKU-B002,AMER,2024-W06,1037,statistical
SKU-B002,AMER,2024-W07,1204,statistical
SKU-B002,AMER,2024-W08,1058,statistical
SKU-B002,AMER,2024-W09,1186,statistical
SKU-B002,AMER,2024-W10,985,statistical
SKU-B002,AMER,2024-W11,911,statistical
SKU-B002,AMER,2024-W12,943,statistical
SKU-B002,AMER,2024-W13,911,statistical
SKU-B002,AMER,2024-W14,912,statistical
SKU-B002,AMER,2024-W15,842,statistical
SKU-B002,AMER,2024-W16,831,statistical
SKU-B002,AMER,2024-W17,850,statistical
SKU-B002,AMER,2024-W18,807,statistical
SKU-B002,AMER,2024-W19,942,statistical
SKU-B002,AMER,2024-W20,1145,statistical
SKU-B002,AMER,2024-W21,1242,statistical
SKU-B002,AMER,2024-W22,1223,statistical
SKU-B002,AMER,2024-W23,1282,statistical
SKU-B002,AMER,2024-W24,1060,statistical
SKU-B002,AMER,2024-W25,1134,statistical
SKU-B002,AMER,2024-W26,956,statistical
SKU-C001,APAC,2024-W01,875,statistical
SKU-C001,APAC,2024-W02,998,statistical
SKU-C001,APAC,2024-W03,1025,statistical
SKU-C001,APAC,2024-W04,1001,statistical
SKU-C001,APAC,2024-W05,1157,statistical
SKU-C001,APAC,2024-W06,1145,statistical
SKU-C001,APAC,2024-W07,1288,statistical
SKU-C001,APAC,2024-W08,1197,statistical
SKU-C001,APAC,2024-W09,1244,statistical
SKU-C001,APAC,2024-W10,1152,statistical
SKU-C001,APAC,2024-W11,1195,statistical
SKU-C001,APAC,2024-W12,1025,statistical
SKU-C001,APAC,2024-W13,955,statistical
SKU-C001,APAC,2024-W14,1015,statistical
SKU-C001,APAC,2024-W15,926,statistical
SKU-C001,APAC,2024-W16,823,statistical
SKU-C001,APAC,2024-W17,896,statistical
SKU-C001,APAC,2024-W18,994,statistical
SKU-C001,APAC,2024-W19,1069,statistical
SKU-C001,APAC,2024-W20,1243,statistical
SKU-C001,APAC,2024-W21,1398,statistical
SKU-C001,APAC,2024-W22,1397,statistical
SKU-C001,APAC,2024-W23,1431,statistical
SKU-C001,APAC,2024-W24,1225,statistical
SKU-C001,APAC,2024-W25,1212,statistical
SKU-C001,APAC,2024-W26,1092,statistical
SKU-C001,EMEA,2024-W01,298,statistical
SKU-C001,EMEA,2024-W02,274,statistical
SKU-C001,EMEA,2024-W03,294,statistical
SKU-C001,EMEA,2024-W04,341,statistical
SKU-C001,EMEA,2024-W05,314,statistical
SKU-C001,EMEA,2024-W06,321,statistical
SKU-C001,EMEA,2024-W07,405,statistical
SKU-C001,EMEA,2024-W08,394,statistical
SKU-C001,EMEA,2024-W09,389,statistical
SKU-C001,EMEA,2024-W10,350,statistical
SKU-C001,EMEA,2024-W11,364,statistical
SKU-C001,EMEA,2024-W12,326,statistical
SKU-C001,EMEA,2024-W13,319,statistical
SKU-C001,EMEA,2024-W14,283,statistical
SKU-C001,EMEA,2024-W15,268,statistical
SKU-C001,EMEA,2024-W16,239,statistical
SKU-C001,EMEA,2024-W17,283,statistical
SKU-C001,EMEA,2024-W18,312,statistical
SKU-C001,EMEA,2024-W19,345,statistical
SKU-C001,EMEA,2024-W20,381,statistical
SKU-C001,EMEA,2024-W21,407,statistical
SKU-C001,EMEA,2024-W22,379,statistical
SKU-C001,EMEA,2024-W23,443,statistical
SKU-C001,EMEA,2024-W24,401,statistical
SKU-C001,EMEA,2024-W25,351,statistical
SKU-C001,EMEA,2024-W26,325,statistical
SKU-C001,AMER,2024-W01,1094,statistical
SKU-C001,AMER,2024-W02,1162,statistical
SKU-C001,AMER,2024-W03,1314,statistical
SKU-C001,AMER,2024-W04,1401,statistical
SKU-C001,AMER,2024-W05,1480,statistical
SKU-C001,AMER,2024-W06,1476,statistical
SKU-C001,AMER,2024-W07,1683,statistical
SKU-C001,AMER,2024-W08,1652,statistical
SKU-C001,AMER,2024-W09,1703,statistical
SKU-C001,AMER,2024-W10,1652,statistical
SKU-C001,AMER,2024-W11,1441,statistical
SKU-C001,AMER,2024-W12,1506,statistical
SKU-C001,AMER,2024-W13,1309,statistical
SKU-C001,AMER,2024-W14,1168,statistical
SKU-C001,AMER,2024-W15,1269,statistical
SKU-C001,AMER,2024-W16,1103,statistical
SKU-C001,AMER,2024-W17,1243,statistical
SKU-C001,AMER,2024-W18,1339,statistical
SKU-C001,AMER,2024-W19,1331,statistical
SKU-C001,AMER,2024-W20,1617,statistical
SKU-C001,AMER,2024-W21,1666,statistical
SKU-C001,AMER,2024-W22,1650,statistical
SKU-C001,AMER,2024-W23,1789,statistical
SKU-C001,AMER,2024-W24,1743,statistical
SKU-C001,AMER,2024-W25,1451,statistical
SKU-C001,AMER,2024-W26,1347,statistical
